City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,Ambulu,ID,77.0,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
318,Altus,US,81.91,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
322,Sola,VU,78.42,broken clouds,-13.8833,167.55,Leumerus Bungalows
323,Luganville,VU,76.41,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
324,Bubaque,GW,80.17,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
333,Malindi,KE,78.03,broken clouds,-3.2175,40.1191,African House Resort
334,Katsina,NG,91.2,broken clouds,12.9894,7.6006,Katsina Motel
336,Takoradi,GH,80.71,overcast clouds,4.8845,-1.7554,Raybow International Hotel
338,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
339,Malanje,AO,88.59,few clouds,-9.5402,16.341,Malanje Hotel
340,Cumberland,US,77.81,overcast clouds,35.0502,-78.8664,American Eagle Inn
341,Payo,ID,76.96,few clouds,-3.7508,103.6372,Mess keban agung
343,Canutama,BR,90.73,clear sky,-6.5339,-64.3831,Hotel Jhennifer
345,Ishurdi,BD,82.06,moderate rain,24.1333,89.0833,Rafiur Rahman
346,Juarez,MX,88.83,broken clouds,31.7333,-106.4833,Hotel Santa Fe
349,Kaoma,ZM,86.13,clear sky,-14.7833,24.8,KAOMA AIRPORT
350,Punta De Piedra,VE,81.23,few clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
351,Kisangani,CD,80.01,overcast clouds,0.5167,25.2,Grand Ramela Hotel
353,Negombo,LK,79.5,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
357,Padang,ID,78.85,few clouds,-0.9492,100.3543,Mercure Padang
358,Juba,SS,85.33,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
359,Westport,US,83.28,clear sky,41.1415,-73.3579,The Westport Inn
360,Am Timan,TD,76.41,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
364,Upata,VE,81.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
365,Wysokie Mazowieckie,PL,77.38,clear sky,52.9166,22.5171,POKOJE Z SERCEM
370,Manresa,ES,94.89,broken clouds,41.725,1.8266,Hotel 1948 Manresa
371,Laurel,US,80.51,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
373,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
379,Maragogi,BR,78.3,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
381,Palmer,US,81.75,overcast clouds,42.1584,-72.3287,Wedgewood Motel
386,Tual,ID,80.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
389,Kathmandu,NP,77.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
391,Chinhoyi,ZW,83.91,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
394,Amet,IN,78.26,overcast clouds,25.3,73.9333,Nimit Mehta
397,Carbonia,IT,90.55,clear sky,39.1672,8.5222,Lu 'Hotel
400,Yarmouth,US,84.25,clear sky,41.7057,-70.2286,Blue Rock Resort
402,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
409,Dwarka,IN,82.74,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
413,Jasper,US,80.46,few clouds,37.2001,-94.3502,Guest House Motel
414,Jiwani,PK,81.66,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
415,Ewa Beach,US,76.95,few clouds,21.3156,-158.0072,Uncle Junior Robert
416,Fairview,US,83.73,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
