City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Padang,ID,2021-08-06 23:39:42,-0.9492,100.3543,75.25,85,90,4.59
147,Sinop,TR,2021-08-06 23:48:28,41.7711,34.8709,73.33,51,3,2.68
148,Chapaevsk,RU,2021-08-06 23:48:29,52.9813,49.7112,65.41,48,27,4.76
149,Maragogi,BR,2021-08-06 23:41:12,-9.0122,-35.2225,73.8,83,36,14.0
150,Tuktoyaktuk,CA,2021-08-06 23:40:18,69.4541,-133.0374,42.8,75,90,13.8
151,Serendah,MY,2021-08-06 23:48:29,3.3646,101.6041,79.18,82,66,1.25
152,Kavaratti,IN,2021-08-06 23:40:13,10.5669,72.642,82.15,79,93,21.16
153,Dryden,CA,2021-08-06 23:48:30,49.7833,-92.7503,64.69,63,1,4.61
154,Gat,IL,2021-08-06 23:40:02,31.61,34.7642,86.4,61,0,4.5
155,Guapiles,CR,2021-08-06 23:48:30,10.2159,-83.7866,83.21,96,83,2.46
156,Topchikha,RU,2021-08-06 23:48:30,52.8192,83.1185,61.38,75,88,4.54
157,Salalah,OM,2021-08-06 23:48:31,17.0151,54.0924,77.09,100,90,5.75
158,Pisco,PE,2021-08-06 23:40:40,-13.7,-76.2167,62.65,77,0,11.5
159,Coihaique,CL,2021-08-06 23:48:31,-45.5752,-72.0662,35.55,93,90,9.22
160,Bereda,ES,2021-08-06 23:39:58,43.2686,-7.5406,59.92,96,76,3.87
161,Broome,US,2021-08-06 23:41:06,42.2506,-75.833,80.98,53,1,5.75
162,Grindavik,IS,2021-08-06 23:39:59,63.8424,-22.4338,53.55,93,75,1.14
163,Jabinyanah,TN,2021-08-06 23:48:32,35.035,10.9081,84.0,68,0,8.05
164,Tarakan,ID,2021-08-06 23:39:08,3.3,117.6333,76.5,94,40,1.14
165,Qasigiannguit,GL,2021-08-06 23:48:33,68.8193,-51.1922,44.85,89,100,7.47
166,Lucapa,AO,2021-08-06 23:39:40,-8.4192,20.7447,66.38,23,0,3.96
167,Praia Da Vitoria,PT,2021-08-06 23:41:13,38.7333,-27.0667,71.85,78,75,14.83
168,Cherskiy,RU,2021-08-06 23:39:47,68.75,161.3,56.57,67,42,3.09
169,Arman,RU,2021-08-06 23:48:33,59.7,150.1667,62.73,49,5,12.55
170,Xining,CN,2021-08-06 23:40:13,36.6167,101.7667,57.61,70,9,2.1
171,Finnsnes,NO,2021-08-06 23:48:34,69.2296,17.9811,54.21,70,92,3.11
172,Longyearbyen,SJ,2021-08-06 23:39:26,78.2186,15.6401,44.44,70,75,12.66
173,Turbat,PK,2021-08-06 23:48:34,26.0023,63.044,86.63,57,11,3.15
174,Belaya Gora,RU,2021-08-06 23:41:07,68.5333,146.4167,59.88,54,38,3.4
175,Severomuysk,RU,2021-08-06 23:48:34,56.1481,113.4267,53.44,76,23,1.79
176,Huadian,CN,2021-08-06 23:48:35,42.9633,126.7478,72.59,82,96,2.57
177,Meulaboh,ID,2021-08-06 23:40:06,4.1363,96.1285,76.64,84,97,3.36
178,Corinto,GR,2021-08-06 23:48:35,37.9407,22.9573,86.68,70,0,3.0
179,Alta Floresta,BR,2021-08-06 23:48:35,-9.8756,-56.0861,78.76,32,36,4.18
180,Pacific Grove,US,2021-08-06 23:41:16,36.6177,-121.9166,97.14,80,40,1.99
181,Severo-Kurilsk,RU,2021-08-06 23:40:19,50.6789,156.125,55.78,74,100,3.4
182,Goderich,CA,2021-08-06 23:48:36,43.7501,-81.7165,77.92,65,81,10.36
183,Kudat,MY,2021-08-06 23:48:36,6.8837,116.8477,77.29,88,20,2.3
184,Bealanana,MG,2021-08-06 23:48:37,-14.55,48.7333,55.38,90,77,3.6
185,Bethel,US,2021-08-06 23:39:30,41.3712,-73.414,81.43,75,39,7.34
186,Comodoro Rivadavia,AR,2021-08-06 23:37:09,-45.8667,-67.5,48.06,43,0,8.05
187,Koshurnikovo,RU,2021-08-06 23:48:37,54.1667,93.3,56.3,96,96,0.58
188,Bambous Virieux,MU,2021-08-06 23:39:08,-20.3428,57.7575,70.05,73,20,10.36
189,Ixtapa,MX,2021-08-06 23:40:55,20.7,-105.2,83.43,79,90,9.22
190,Paracuru,BR,2021-08-06 23:48:38,-3.41,-39.0306,82.42,70,42,15.37
191,Inhambane,MZ,2021-08-06 23:40:11,-23.865,35.3833,65.8,80,0,4.43
192,Yeppoon,AU,2021-08-06 23:48:38,-23.1333,150.7333,65.98,64,14,6.89
193,Buala,SB,2021-08-06 23:48:39,-8.145,159.5921,83.26,66,27,10.13
194,Sao Filipe,CV,2021-08-06 23:48:39,14.8961,-24.4956,77.47,83,54,8.08
195,Sitka,US,2021-08-06 23:39:34,57.0531,-135.33,62.49,72,90,4.61
