City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Lavrentiya,RU,65.5833,-171.0,42.57,87,100,16.22,overcast clouds
179,Hasaki,JP,35.7333,140.8333,79.2,91,100,8.12,overcast clouds
180,Fort Nelson,CA,58.8053,-122.7002,58.59,94,90,13.8,light rain
181,Hervey Bay,AU,-25.2986,152.8535,54.03,79,0,5.95,clear sky
182,Codrington,AU,-38.2667,141.9667,47.98,84,90,4.97,overcast clouds
183,Mount Isa,AU,-20.7333,139.5,51.57,32,0,4.61,clear sky
184,Butaritari,KI,3.0707,172.7902,82.11,73,12,11.88,light rain
185,Vilhena,BR,-12.7406,-60.1458,82.62,36,0,13.8,clear sky
186,Port Elizabeth,ZA,-33.918,25.5701,69.1,73,87,11.83,overcast clouds
187,Iqaluit,CA,63.7506,-68.5145,46.13,81,90,14.97,light rain
188,Ayan,RU,56.45,138.1667,52.27,79,5,5.99,clear sky
189,Constitucion,CL,-35.3333,-72.4167,53.46,76,34,7.83,scattered clouds
190,Gat,IL,31.61,34.7642,98.4,45,0,10.94,clear sky
191,Den Helder,NL,52.9599,4.7593,72.99,75,90,9.22,overcast clouds
192,Casablanca,MA,33.5928,-7.6192,84.42,67,31,11.5,scattered clouds
193,Northam,GB,51.0333,-4.2167,65.3,90,80,23.53,broken clouds
194,Victoria,HK,22.2855,114.1577,84.25,86,100,3.0,overcast clouds
195,Goure,NE,13.9835,10.2704,96.42,31,35,13.44,scattered clouds
196,Ugoofaaru,MV,5.6667,73.0,83.32,79,100,17.38,overcast clouds
197,Nikolskoye,RU,59.7035,30.7861,62.49,98,100,9.6,light rain
198,Guerrero Negro,MX,27.9769,-114.0611,71.15,81,1,6.08,clear sky
199,Venice,US,27.0998,-82.4543,88.02,76,1,6.91,thunderstorm
200,Leningradskiy,RU,69.3833,178.4167,37.45,93,100,7.34,overcast clouds
201,Carutapera,BR,-1.195,-46.02,86.27,56,9,7.61,clear sky
202,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,72,100,12.39,overcast clouds
203,Atambua,ID,-9.1061,124.8925,68.74,76,36,6.15,scattered clouds
204,High Level,CA,58.5169,-117.136,57.31,88,40,3.44,scattered clouds
205,Beloha,MG,-25.1667,45.05,73.69,48,0,9.75,clear sky
206,Deputatskiy,RU,69.3,139.9,45.25,80,24,2.24,few clouds
207,Doka,SD,13.5167,35.7667,87.35,50,14,7.65,few clouds
208,Heishan,CN,41.6892,122.1128,73.71,72,87,0.76,overcast clouds
209,Krasnomayskiy,RU,57.6194,34.4099,75.07,73,85,4.81,overcast clouds
210,Poum,NC,-20.2333,164.0167,70.56,68,69,11.48,broken clouds
211,Mayo,US,38.8876,-76.5119,80.47,79,1,3.0,clear sky
212,Nong Phai,TH,15.9903,101.0618,80.91,77,99,2.77,overcast clouds
213,Broome,US,42.2506,-75.833,79.56,81,1,1.01,clear sky
214,Grindavik,IS,63.8424,-22.4338,59.56,63,75,5.75,broken clouds
215,Kavaratti,IN,10.5669,72.642,82.11,80,100,19.13,overcast clouds
216,Chenghai,CN,23.4632,116.768,85.91,84,20,4.47,few clouds
217,Emerald,AU,-23.5333,148.1667,53.28,44,0,10.31,clear sky
218,Hithadhoo,MV,-0.6,73.0833,82.45,66,100,3.65,moderate rain
219,Te Anau,NZ,-45.4167,167.7167,36.55,94,100,2.08,moderate rain
220,Port Shepstone,ZA,-30.7414,30.455,66.63,67,0,8.32,clear sky
221,Jeremie,HT,18.65,-74.1167,84.7,66,23,0.89,few clouds
222,Tura,IN,25.5198,90.2201,74.98,98,100,5.08,overcast clouds
223,Shieli,KZ,44.1667,66.75,97.74,15,9,8.75,clear sky
224,Ambilobe,MG,-13.2,49.05,77.99,60,33,6.29,scattered clouds
225,Shimoda,JP,34.6667,138.95,79.45,89,100,17.6,light rain
226,Kodinsk,RU,58.6881,99.1844,69.82,48,100,3.33,overcast clouds
227,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,93,75,11.5,broken clouds
228,Nabire,ID,-3.3667,135.4833,76.41,90,100,2.86,overcast clouds
229,Gourcy,BF,13.2167,-2.35,91.24,46,94,12.24,overcast clouds
230,Fukue,JP,32.6881,128.8419,82.71,83,100,9.98,overcast clouds
231,Tucuman,AR,-26.8241,-65.2226,68.0,49,6,4.61,smoke
232,Rensvik,NO,63.1,7.8167,75.47,27,0,11.5,clear sky
233,Pitimbu,BR,-7.4706,-34.8086,77.59,69,95,20.04,overcast clouds
234,Wanning,CN,18.8003,110.3967,84.07,80,100,4.92,overcast clouds
235,Cuamba,MZ,-14.8031,36.5372,82.24,31,36,8.12,scattered clouds
236,Darab,IR,28.7519,54.5444,96.64,17,79,2.06,broken clouds
237,North Battleford,CA,52.7834,-108.2847,60.89,88,75,6.91,broken clouds
238,Aswan,EG,24.0934,32.907,103.66,22,54,19.13,broken clouds
239,Vero Beach,US,27.6386,-80.3973,89.06,85,1,1.99,clear sky
240,Palu,ID,-0.8917,119.8707,77.38,93,100,4.16,heavy intensity rain
241,Santiago Del Estero,AR,-27.7951,-64.2615,72.81,31,6,15.55,clear sky
242,Lompoc,US,34.6391,-120.4579,61.09,93,90,3.44,mist
243,Jishou,CN,28.3167,109.7167,80.98,80,98,3.62,overcast clouds
244,Atar,MR,20.5169,-13.0499,97.14,36,10,14.94,clear sky
245,Noumea,NC,-22.2763,166.4572,60.78,70,100,6.73,overcast clouds
246,Hokitika,NZ,-42.7167,170.9667,45.55,86,100,4.03,light rain
247,Imbituba,BR,-28.24,-48.6703,67.89,81,100,12.1,overcast clouds
248,Buchanan,LR,5.8808,-10.0467,85.96,67,65,9.46,broken clouds
249,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,9.22,scattered clouds
250,Kozhva,RU,65.1073,57.0459,50.92,93,100,6.53,overcast clouds
